id,title,company,location,category,job_type,publication_date,salary,url,source
arbeitnow_trainee-developer-programmierer-fur-ki-agenten-koblenz-329327,Trainee Developer / Programmierer für KI-Agenten (m/w/d),DCF Verlag GmbH,Koblenz,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/dcf-verlag-gmbh/trainee-developer-programmierer-fur-ki-agenten-koblenz-329327,Arbeitnow
arbeitnow_architekt-hardwarenahe-softwareentwicklung-berlin-400628,Architekt (m/w/x) hardwarenahe Softwareentwicklung,K-tronik GmbH,Berlin,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/architekt-hardwarenahe-softwareentwicklung-berlin-400628,Arbeitnow
arbeitnow_spezialist-it-prufung-ingolstadt-285250,Spezialist IT-Prüfung (m/w/d),Genossenschaftsverband Bayern e.V.,Ingolstadt,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/spezialist-it-prufung-ingolstadt-285250,Arbeitnow
arbeitnow_prufungsassistent-bankenprufung-munich-5516,Prüfungsassistent Bankenprüfung (m/w/d),Genossenschaftsverband Bayern e.V.,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/prufungsassistent-bankenprufung-munich-5516,Arbeitnow
arbeitnow_videograph-content-creator-fur-short-form-video-dinslaken-106459,Videograph / Content Creator für Short-Form-Video,Gipfelstürmer Mentoring GmbH,Dinslaken,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/gipfelsturmer-mentoring-gmbh/videograph-content-creator-fur-short-form-video-dinslaken-106459,Arbeitnow
arbeitnow_prufungsassistent-bankenprufung-nuremberg-418847,Prüfungsassistent Bankenprüfung (m/w/d),Genossenschaftsverband Bayern e.V.,Nuremberg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/prufungsassistent-bankenprufung-nuremberg-418847,Arbeitnow
arbeitnow_prufungsassistent-bankenprufung-regensburg-8619,Prüfungsassistent Bankenprüfung (m/w/d),Genossenschaftsverband Bayern e.V.,Regensburg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/prufungsassistent-bankenprufung-regensburg-8619,Arbeitnow
arbeitnow_wirtschaftsprufer-oder-verbandsprufer-banken-munich-209047,Wirtschaftsprüfer oder Verbandsprüfer Banken (m/w/d),Genossenschaftsverband Bayern e.V.,Munich,Technology,Remote,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/genossenschaftsverband-bayern-ev/wirtschaftsprufer-oder-verbandsprufer-banken-munich-209047,Arbeitnow
arbeitnow_brand-content-creator-munich-136185,Brand Content Creator (m/w/d),8PM SOCIAL,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/8pm-social/brand-content-creator-munich-136185,Arbeitnow
arbeitnow_crm-e-mail-marketing-managerin-teilzeit-berlin-311289,CRM & E-Mail Marketing Manager:in (Teilzeit),Tante-E GmbH / Merchant Inspiration,Berlin,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/tante-e-gmbh-merchant-inspiration/crm-e-mail-marketing-managerin-teilzeit-berlin-311289,Arbeitnow
